Start Time,Period (min),NE Name,DGW function,User Plane L7 parser DNS downlink packets (number),User Plane L7 parser DNS uplink packets (number),User Plane L7 parser downlink packets (number),User Plane L34 parser uplink packets (number),User Plane L7 parser uplink packets (number),User Plane L34 parser downlink packets (number),Date,Time
2023-09-06 03:30:00,30,UPPNB04,nodeName=dgw,19304228,20918750,3240784652,12244611,1711917544,33230925,2023-09-06,03:30:00
2023-09-06 03:30:00,30,UPPNB06,nodeName=dgw,44089755,48014526,7398555242,26212114,3910799968,60868646,2023-09-06,03:30:00
2023-09-06 04:00:00,30,UPCBT03,nodeName=dgw,39635327,42575454,4926194219,23944519,2257592583,49863458,2023-09-06,04:00:00
2023-09-06 04:00:00,30,UPPLB02,nodeName=dgw,36898427,40423606,4861925237,15000553,2385773145,43675763,2023-09-06,04:00:00
2023-09-06 04:00:00,30,UPPNB06,nodeName=dgw,44041485,47927890,6848961308,20721558,3648746046,49802476,2023-09-06,04:00:00
2023-09-06 04:00:00,30,UPPNB04,nodeName=dgw,19415380,21091917,2994951800,8555753,1588515198,22341739,2023-09-06,04:00:00
2023-09-06 04:00:00,30,UPBNB02,nodeName=dgw,41202037,44987173,5016879362,36169802,2374486913,66295210,2023-09-06,04:00:00
2023-09-06 04:30:00,30,UPCBT03,nodeName=dgw,42290024,45302558,5142440969,25265783,2367752769,51145424,2023-09-06,04:30:00
2023-09-06 04:30:00,30,UPPLB02,nodeName=dgw,42582578,46268395,5682684972,14548619,2721966271,37674859,2023-09-06,04:30:00
2023-09-06 04:30:00,30,UPBNB02,nodeName=dgw,49076242,53075985,5761394153,39736872,2695832204,74601661,2023-09-06,04:30:00
2023-09-06 04:30:00,30,UPPNB04,nodeName=dgw,20916695,22722866,3139944047,8135707,1632780809,17604193,2023-09-06,04:30:00
2023-09-06 04:30:00,30,UPPNB06,nodeName=dgw,47411982,51322219,7186357467,21061282,3774818379,49117807,2023-09-06,04:30:00
2023-09-06 05:00:00,30,UPCBT03,nodeName=dgw,56859957,60400780,6698684842,30836970,3006808543,61139501,2023-09-06,05:00:00
2023-09-06 05:00:00,30,UPPLB02,nodeName=dgw,58820472,63115109,8434922253,18859999,3823913650,52401089,2023-09-06,05:00:00
2023-09-06 05:00:00,30,UPBNB02,nodeName=dgw,71771426,76473480,8863431966,52222436,4026136989,103630831,2023-09-06,05:00:00
2023-09-06 05:00:00,30,UPPNB04,nodeName=dgw,26041370,28083228,3927480270,9356936,1971839442,21945841,2023-09-06,05:00:00
2023-09-06 05:00:00,30,UPPNB06,nodeName=dgw,59361644,63624025,9023881072,23375767,4544115666,56742628,2023-09-06,05:00:00
2023-09-06 05:30:00,30,UPCBT03,nodeName=dgw,67689576,72033790,8832147416,39563003,3848215468,74123162,2023-09-06,05:30:00
2023-09-06 05:30:00,30,UPPLB02,nodeName=dgw,81235682,86181440,12509639699,28182554,5514725476,126070499,2023-09-06,05:30:00
2023-09-06 05:30:00,30,UPBNB02,nodeName=dgw,96105560,101617757,12473729843,67051929,5606534260,135503220,2023-09-06,05:30:00
